"","state_cens","sector","nobs","empl","member","covered","pctmem","pctcov","state2","unioncovpct_state","idvarstate","state","year","robotpct_state","stateyear","medianhouseinc","unemprate","femalepct","manufemp","healthins","oldage","wage_state"
"63",95,"Total",2181,575156.046841665,134485.66635,146370.289633334,0.233824655413628,0.254487961530685,"HI",25.4487961530685,"Hawaii-2019",NA,NA,NA,"NA-NA",NA,NA,NA,NA,NA,NA,NA
"64",82,"Total",2570,764351.713399999,37553.8499666667,46321.5672916667,0.0491316355764866,0.0606024265289307,"ID",6.06024265289307,"Idaho-2019","Idaho","2019",20.4,"Idaho-2019",60.999,3.3,58.4,9.6,89.2,6.9,43.6163636363636
"65",33,"Total",4320,5660933.76143334,771464.710249999,833095.339541666,0.136278703808784,0.147165715694427,"IL",14.7165715694427,"Illinois-2019","Illinois","2019",29.5,"Illinois-2019",69.187,4.8,60.7,11.8,92.6,8.6,54.376
"66",32,"Total",2620,3008608.56343333,248802.307525,295103.815933333,0.0826968029141426,0.0980864763259888,"IN",9.80864763259888,"Indiana-2019","Indiana","2019",31.5,"Indiana-2019",57.603,4.2,59.4,18.5,91.3,7.7,48.6288
"67",42,"Total",2088,1544328.75866667,96938.6436833334,121465.49915,0.0627707317471504,0.0786526203155518,"IA",7.86526203155518,"Iowa-2019","Iowa","2019",32.6,"Iowa-2019",61.691,3.7,62.8,15.1,95,7.4,46.4604545454545
"68",47,"Total",2033,1280818.39591667,111105.287291667,129275.148775,0.0867455452680588,0.10093167424202,"KS",10.093167424202,"Kansas-2019","Kansas","2019",36.2,"Kansas-2019",62.087,3.8,61.7,12.6,90.8,7.2,47.904347826087
"69",61,"Total",1683,1785878.66724167,143088.887675,168555.676408333,0.0801224038004875,0.0943824872374535,"KY",9.43824872374535,"Kentucky-2019","Kentucky","2019",39,"Kentucky-2019",52.295,4.8,54.9,14.3,93.6,11.6,47.6316666666667
"70",72,"Total",3268,1779714.8789,94069.8782,107457.054966667,0.0528567135334015,0.0603788048028946,"LA",6.03788048028946,"Louisiana-2019","Louisiana","2019",13.4,"Louisiana-2019",51.073,5.5,55.3,7.3,91.1,13.2,50.2736
"71",11,"Total",1226,589203.931200001,69424.404925,80850.5781333333,0.117827460169792,0.137220025062561,"ME",13.7220025062561,"Maine-2019","Maine","2019",35.2,"Maine-2019",58.924,3.5,59.3,8.7,92,8.5,48.8776
"72",52,"Total",2091,2909903.01382501,328812.953191667,370487.438958334,0.112997904419899,0.127319514751434,"MD",12.7319514751434,"Maryland-2019","Maryland","2019",17.9,"Maryland-2019",86.738,4.5,63.7,4.3,94,7.8,57.73
"73",14,"Total",3535,3393047.54160833,406341.096108334,448921.543891667,0.119756974279881,0.132306292653084,"MA",13.2306292653084,"Massachusetts-2019","Massachusetts","2019",20.8,"Massachusetts-2019",85.843,3.9,63.7,8.6,97,9.1,60.0924
"74",34,"Total",3535,4324868.71914165,591147.533516667,649732.071658334,0.136685654520988,0.150231629610062,"MI",15.0231629610062,"Michigan-2019","Michigan","2019",40.5,"Michigan-2019",59.584,5,57.5,18.5,94.2,8.4,49.3372
"75",41,"Total",2230,2661670.65879999,363392.146166667,379693.690733333,0.136527836322784,0.14265239238739,"MN",14.265239238739,"Minnesota-2019","Minnesota","2019",31.4,"Minnesota-2019",74.593,3.2,65.8,13.4,95.1,7.4,53.6868
"76",64,"Total",2461,1104367.1386,69574.7903083333,93187.225175,0.0629996955394745,0.0843806564807892,"MS",8.43806564807892,"Mississippi-2019","Mississippi","2019",30.5,"Mississippi-2019",45.792,6.6,53.4,13.5,87,13.2,46.04875
"77",43,"Total",2155,2662183.82105834,296296.955083334,332315.270516667,0.111298456788063,0.124828070402145,"MO",12.4828070402145,"Missouri-2019","Missouri","2019",35.9,"Missouri-2019",57.409,3.8,58.9,11.1,90,8.9,46.6496
"78",81,"Total",2627,437101.817791666,46021.9227166666,52245.8398083333,0.105288796126842,0.119527846574783,"MT",11.9527846574783,"Montana-2019","Montana","2019",8.8,"Montana-2019",57.153,4.1,59.1,4.9,91.7,8.6,48.4852173913043
"79",46,"Total",2118,894551.953941666,74429.693175,85390.3943583333,0.0832033231854439,0.0954560488462448,"NE",9.54560488462448,"Nebraska-2019","Nebraska","2019",31.9,"Nebraska-2019",63.229,3.3,64.7,10.1,91.7,8.1,45.2528571428571
"80",88,"Total",2116,1378726.80553334,200666.534291667,221338.865041667,0.145544812083244,0.160538598895073,"NV",16.0538598895073,"Nevada-2019","Nevada","2019",10.9,"Nevada-2019",63.276,5.1,58.3,5,88.6,9.5,47.7345454545455
"81",12,"Total",2412,677148.150516665,69475.5369,78585.2526666667,0.102600201964378,0.116053260862827,"NH",11.6053260862827,"New Hampshire-2019","New Hampshire","2019",18.4,"New Hampshire-2019",77.933,3,62.4,13.4,93.7,6.2,54.2884
"82",22,"Total",3328,4095348.94790831,642233.02405,711781.634916667,0.156820103526115,0.173802435398102,"NJ",17.3802435398102,"New Jersey-2019","New Jersey","2019",15.4,"New Jersey-2019",85.751,4.7,60.8,8,92.1,8.8,56.6852
"83",85,"Total",2402,812061.751091667,57601.0449333334,71808.178225,0.0709318518638611,0.0884269922971725,"NM",8.84269922971725,"New Mexico-2019","New Mexico","2019",8.2,"New Mexico-2019",51.945,5.5,53.5,4.1,90,13.5,46.9869565217391
"84",21,"Total",6279,8258424.7814583,1732568.91989167,1876885.22732501,0.209794119000435,0.227269157767296,"NY",22.7269157767296,"New York-2019","New York","2019",18.4,"New York-2019",72.108,4.4,59.3,5.7,94.8,12,53.0916
"85",56,"Total",3477,4397872.78299167,102365.912275,150499.263916667,0.0232762340456247,0.0342209227383137,"NC",3.42209227383137,"North Carolina-2019","North Carolina","2019",21.3,"North Carolina-2019",57.341,4.6,57.6,11.8,88.7,9.1,47.3144
